Assignee,Inventor Name,Document Type,Publication Year,Filing Year,Document Count
Bloom Energy Corporation,"Ballantyne, Earn; Mahler, Jessica; Parker, Ross; Richards, Gilbert; Sharp, Barry; Dan, scene; Lara, Santi; Otool, John; Trevisan, David; Kotturi, Karl; Weingertner, David; Vines, Daniel",JP,2023.0,2018.0,1
Brilliant Light Power Incorporated,"Mills, Randell El.",JP,2017.0,2015.0,1
Brilliant Light Power Incorporated,"Mills, Randell El.",JP,2023.0,2023.0,1
Brulic Limited,James Pitman,JP,2023.0,2019.0,1
"CABOT CORP (Boston MA 02210, US)",HAMPDEN-SMITH MARK J (US); ATANASSOVA PAOLINA (US); SHEN JING-PING (US); NAPOLITANO PAUL (US); BREWSTER JAMES (US); KYRLIDIS AGATHAGELOS (US),EP,2006.0,2004.0,1
CABOT CORP (US); HAMPDEN-SMITH MARK J (US); ATANASSOVA PAOLINA (US); SHEN JING-PING (US); BREWSTER JAMES (US); NAPOLITANO PAUL (US),HAMPDEN-SMITH MARK J (US); ATANASSOVA PAOLINA (US); SHEN JING-PING (US); BREWSTER JAMES (US); NAPOLITANO PAUL (US),WIPO,2005.0,2004.0,1
CABOT CORP (US); HAMPDEN-SMITH MARK J (US); ATANASSOVA PAOLINA (US); SHEN JING-PING (US); NAPOLITANO PAUL (US); BREWSTER JAMES (US); KYRLIDIS AGATHAGELOS (US),HAMPDEN-SMITH MARK J (US); ATANASSOVA PAOLINA (US); SHEN JING-PING (US); NAPOLITANO PAUL (US); BREWSTER JAMES (US); KYRLIDIS AGATHAGELOS (US),WIPO,2005.0,2004.0,1
"CALIFORNIA INST OF TECHN (Pasadena, CA 91125, US)",KORNFIELD JULIA A (US); WEI MING-HSIN (US),EP,2017.0,2015.0,1
"CALIFORNIA INST OF TECHN (Pasadena, CA 91125, US)",KORNFIELD JULIA A (US); WEI MING-HSIN (US),EP,2018.0,2016.0,1
CALIFORNIA INST OF TECHN (US),KORNFIELD JULIA A (US); WEI MING-HSIN (US),WIPO,2016.0,2015.0,1
CALIFORNIA INST OF TECHN (US),KORNFIELD JULIA A (US); WEI MING-HSIN (US),WIPO,2017.0,2016.0,2
"CANNON MUSKEGON CORP (Muskegon, Michigan 49441, US)",HARRIS KENNETH (US); ERIDON JOHN M (US); SIKKENGA STEVEN L (US),EP,1995.0,1994.0,1
"CANNON MUSKEGON CORP (Muskegon, Michigan 49441, US)",HARRIS KENNETH (US); ERIDON JOHN M (US); SIKKENGA STEVEN L (US),EP,1998.0,1994.0,1
CAPANNA FRANCO (IT),CAPANNA FRANCO (IT),DE,2003.0,1998.0,1
CAPPELLO GIOVANNI (IT); ROSS MORREY DENNIS ALEXANDER (US),CAPPELLO GIOVANNI (IT); ROSS MORREY DENNIS ALEXANDER (US),WIPO,2018.0,2018.0,1
"CEBALLOS MELO ANDRE AUGUSTO (04004-040 São Paulo, BR)",CEBALLOS MELO ANDRÉ AUGUSTO (BR),EP,2021.0,2018.0,1
CELANESE INT CORP (US); WALKENHORST RAINER (US); SCHROEER DOMINIQUE (US); RICHTER BRITTA (US); NORDLANDER NINA (US); TSAMI SCHULTE ARGIRI (US); WERTHEIMER UWE (US); LUO JUN (US),WALKENHORST RAINER (US); SCHROEER DOMINIQUE (US); RICHTER BRITTA (US); NORDLANDER NINA (US); TSAMI-SCHULTE ARGIRI (US); WERTHEIMER UWE (US); LUO JUN (US),WIPO,2023.0,2022.0,1
"CERAMATEC INC (Salt Lake City, Utah 84119, US)",KHANDKAR ASHOK C (US); ELANGOVAN SINGARAVELU (US); HARTVIGSEN JOSEPH J (US),EP,1996.0,1994.0,1
CERAMATEC INC (US),KHANDKAR ASHOK C; ELANGOVAN SINGARAVELU; HARTVIGSEN JOSEPH J,WIPO,1995.0,1994.0,1
CERAMATEC INC (US); HARTVIGSEN JOSEPH (US); ELANGOVAN S (US); CZERNICHOWSKI PIOTR (US); HOLLIST MICHELE (US),HARTVIGSEN JOSEPH (US); ELANGOVAN S (US); CZERNICHOWSKI PIOTR (US); HOLLIST MICHELE (US),WIPO,2010.0,2009.0,1
CESSNA AIRCRAFT CO (US),GONZALEZ CESAR (US),EP,1991.0,1991.0,1
CESSNA AIRCRAFT CO (US),GONZALEZ CESAR (US),EP,1996.0,1991.0,1
CHEVRON USA INC (US),TREVINO HORACIO (US); LEI GUAN-DAO (US); GUAN ERJIA (US); SMITH RICH O (US); MAESEN THEODORUS LUDOVICUS MICHAEL (US); KNOB KEVIN J (US); YOUNG MICHELLE K (US),WIPO,2024.0,2023.0,1
CHEVRON USA INC (US),TREVINO HORACIO (US); MUNSIF HIMAL P (US); YOUNG MICHELLE K (US); MCCORD CAMERON A (US),WIPO,2024.0,2023.0,1
CHEVRON USA INC (US); WIGAND MARCUS (US); CARLSON ROBERT M (US); LOONEY MARK (US),WIGAND MARCUS (US); CARLSON ROBERT M (US); LOONEY MARK (US),WIPO,2012.0,2011.0,1
CIBA GEIGY AG,FALK ROBERT A,DE,1977.0,1976.0,1
"CIBA-GEIGY AG, BASEL (SCHWEIZ)","FALK, ROBERT A., NEW CITY, N.Y. (V.ST.A.)",DE,1979.0,1976.0,1
"CIBA-GEIGY AG, BASEL (SCHWEIZ)","FALK, ROBERT A., NEW CITY, N.Y. (V.ST.A.)",DE,1980.0,1976.0,1
CL CARGOLIFTER GMBH & CO KG A A (DE),ZULKOWSKI ROLF (DE); HENK JUERGEN (DE); VON GABLENZ CARL (DE); VON KESSEL CHRISTOPH (DE),EP,2011.0,2006.0,1
CLARIANT INT LTD (CH),HARTMANN TIMO (DE); CELINSKI VINICIUS RIBEIRO (DE); RAMIREZ GARCIA PAULA (DE); WERMER ANDREAS (DE); RODRIGUEZ GAYA CARLOS (ES); HERRERO HERNÁNDEZ JORGE (ES); NAVAS ROJO DAVID (ES),EP,2024.0,2022.0,1
"CLARIANT INTERNATIONAL LTD (4132 Muttenz, CH)","HARTMANN, Timo (Dachau, DE); CELINSKI, Vinicius Ribeiro (München, DE); RAMIREZ GARCIA, Paula (Landshut, DE); WERNER, Andreas (Erding, DE); RODRIGUEZ GAYA, Carlos (Yuncos, ES); HERRERO HERNÁNDEZ, Jorge (Yuncos, ES); NAVAS ROJO, David (Maspujols, ES)",WIPO,2024.0,2023.0,1
CLEAN DIESEL TECH INC (US),VALENTINE JAMES (US); SPRAGUE BARRY (US),EP,2004.0,2003.0,1
CLEAR ENERGY SYSTEMS INC (US); CARMEN ANTHONY J (US); HEISE DOUG (US); KEALY JOSEPH P (US),CARMEN ANTHONY J (US); HEISE DOUG (US); KEALY JOSEPH P (US),WIPO,2010.0,2009.0,1
"CO2APPS S R L (23851 Galbiate (LC), IT)",CAPPELLO GIOVANNI (IT); ROSS MORREY DENNIS ALEXANDER (US),EP,2019.0,2018.0,1
COMAC AMERICA CORP (US),WANG MINGWEI (US); YE WEI (US); LANE RICHARD (US); HARRIS DON (US); LI CHEN (US),WIPO,2018.0,2017.0,1
COMBUSTION ENG,WALTON LANDON JUN WILLIAM,DE,1969.0,1968.0,1
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Thomas Van Haake; James Robertson Petrie; Anna El Turchy; Slinder Pal Singh; Kyle Reynolds; Kin Liu; Benjamin Aldo Reita,JP,2017.0,2015.0,1
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Thomas Van Haake; James Robertson Petrie; Anna El Turchy; Slinder Pal Singh; Kyle Reynolds; Kin Liu; Benjamin Aldo Reita,JP,2021.0,2015.0,1
COMPOSITE HELICOPTER HOLDINGS LTD (NZ); HEATLEY NINA (NZ),MALONEY PETER (NZ); HEATLEY NINA (NZ),EP,2014.0,2012.0,1
COMPOSITE HELICOPTER HOLDINGS LTD (NZ); MALONEY PETER (NZ); HEATLEY NINA (NZ),MALONEY PETER (NZ),WIPO,2012.0,2012.0,1
"CONG,Yang","CONG,Yang",JP,2008.0,2005.0,1
COOPER STUART D (US),COOPER STUART D (US),WIPO,2012.0,2012.0,1
COPPLESTONE-BRUCE JOHN MERLIN (GB),COPPLESTONE-BRUCE JOHN MERLIN (GB),WIPO,2016.0,2016.0,1
"CORNERSTONE RES GROUP INC (Dayton, OH 45440, US)",HEMMELGARN CHRISTOPHER D (US); PELLEY BRYAN M (US),EP,2012.0,2010.0,1
CORNERSTONE RES GROUP INC (US); HEMMELGARN CHIRSTOPHER DOUGLAS (US); CABLE KRISTIN MARIE (US); KIRBY BRANDON CHARLES (US); PELLEY BRYAN MICHAEL (US),HEMMELGARN CHIRSTOPHER DOUGLAS (US); CABLE KRISTIN MARIE (US); KIRBY BRANDON CHARLES (US); PELLEY BRYAN MICHAEL (US),WIPO,2009.0,2009.0,1
CORONEL PAUL KAY (US),CORONEL PAUL KAY (US),WIPO,1994.0,1993.0,1
COSMO OIL CO LTD,OTSUKA TAKESHI; HASHIMOTO NAOKI,JP,2022.0,2022.0,1
CRAFT AEROSPACE TECH INC (US),HOSSEINI KAVEH (US),WIPO,2020.0,2020.0,1
CZERNICHOWSKI ALBIN (PL); PRZEOREK JANUSZ (PL); TYKSINSKI MAREK (PL),CZERNICHOWSKI ALBIN (PL); PRZEOREK JANUSZ (PL); TYKSINSKI MAREK (PL),WIPO,2024.0,2023.0,1
Chemetall GmbH,Miroslav kralev; Bian Zie Firth; Peter Bons; Francisco Dies,JP,2015.0,2013.0,1
Chemetall GmbH,Miroslav kralev; Bian Zie Firth; Peter Bons; Francisco Dies,JP,2018.0,2013.0,1
Composite Helicopter Holdings Limited,"Maloney, Peter; Heatray, Nina",JP,2014.0,2012.0,1
"Craft Aerospace Technologies, Incorporated","Hosseini, Cave",JP,2022.0,2020.0,1
DACOSTA CHRIS (US); STIRM BRIAN (US); ALBUZAT THOMAS (US),D'ACOSTA CHRIS (US); STIRM BRIAN (US); ALBUZAT THOMAS (DE),WIPO,2019.0,2018.0,1
DAIMLER BENZ AEROSPACE AIRBUS (DE),LANG STEPHAN DIPL ING (DE),DE,1997.0,1995.0,2
"DASSAULT AVIAT (75008 Paris, FR)",GRIMALD CYRILLE (FR); URIEN BENOÎT (FR),EP,2023.0,2022.0,1
"DASSAULT AVIAT (75008 Paris, FR)",LE PEUVEDIC JEAN-MARC (FR),EP,2018.0,2014.0,1
DASSAULT AVIAT (FR),LE PEUVEDIC JEAN-MARC (FR),EP,2015.0,2014.0,1
DEFENSE HOLDINGS INC (US); JONES JOSEPH BACHIR (US),JONES JOSEPH BACHIR (US),WIPO,2006.0,2006.0,1
DEFENSE HOLDINGS INC (US); JONES JOSEPH BACHIR (US),JONES JOSEPH BACHIR (US),WIPO,2007.0,2006.0,1
DELAVAN INC (US),WILLIAMS BRANDON P (US); GOEKE JERRY L (US),DE,2009.0,2009.0,1
DELAVAN INC (US); DEMAG DELAVAL IND TURBOMACHINE (SE),CORNWELL MICHAEL (US); MILOSAVLJEVIC VLADIMIR D (SE),EP,2006.0,2004.0,1
DELAVAN INC (US); DEMAG DELAVAL IND TURBOMACHINE (SE); CORNWELL MICHAEL (US); MILOSAVLJEVIC VLADIMIR D (SE),CORNWELL MICHAEL (US); MILOSAVLJEVIC VLADIMIR D (SE),WIPO,2005.0,2004.0,1
"DELAVAN INC (West Des Moines Iowa 50265, US); DEMAG DELAVAL IND TURBOMACHINE (SE)",CORNWELL MICHAEL (US); MILOSAVLJEVIC VLADIMIR D (SE),EP,2006.0,2004.0,1
DELCON DEUTSCHE LUFTFAHRT CONS (DE),GABLENZ CARL VON (DE); KESSEL CHRISTOPH VON (DE); HENK JUERGEN (DE); ZULKOWSKI ROLF (DE),DE,2007.0,2006.0,1
DELCON DEUTSCHE LUFTFAHRT CONS (DE),ZULKOWSKI ROLF (DE); HENK JUERGEN (DE); VON GABLENZ CARL (DE); VON KESSEL CHRISTOPH (DE),EP,2008.0,2006.0,1
DELCON DEUTSCHE LUFTFAHRT CONS (DE); ZULKOWSKI ROLF (DE); HENK JUERGEN (DE); VON GABLENZ CARL (DE); VON KESSEL CHRISTOPH (DE),ZULKOWSKI ROLF (DE); HENK JUERGEN (DE); VON GABLENZ CARL (DE); VON KESSEL CHRISTOPH (DE),WIPO,2007.0,2006.0,1
DEUTSCHMANN KLAUS (DE),DEUTSCHMANN KLAUS (DE),DE,2022.0,2019.0,1
DEWITT MONTE D (US),DEWITT MONTE D (US),WIPO,2012.0,2010.0,1
DIEHL AEROSPACE GMBH (DE),KNEPPLE RONNY (DE); SPETH BERND (DE); TICHY FRANZ (DE),EP,2013.0,2011.0,1
DIEHL AEROSPACE GMBH (DE),KNEPPLE RONNY DIPL ING (DE); SPETH BERND DIPL ING (DE); TICHY FRANZ DR ING (DE),DE,2011.0,2010.0,1
DIEHL AEROSPACE GMBH (DE); KNEPPLE RONNY (DE); SPETH BERND (DE); TICHY FRANZ (DE),KNEPPLE RONNY (DE); SPETH BERND (DE); TICHY FRANZ (DE),WIPO,2011.0,2011.0,1
"DIEHL AVIATION GILCHING GMBH (82205 Gilching, DE)",HEJCZYK ARTUR (DE); KALLFASS CHRISTOPH (DE),EP,2020.0,2018.0,2
"DIEHL AVIATION GILCHING GMBH (82205 Gilching, DE)",KALLFASS CHRISTOPH (DE),EP,2019.0,2014.0,1
DINELLI RAPHAEL (FR),DINELLI RAPHAEL (FR),WIPO,2021.0,2021.0,1
DOBOS GABOR (HU),DOBOS GABOR (HU),WIPO,2010.0,2010.0,1
"DONALDSON CO INC (Minneapolis, MN 55440-1299, US)",FERRER ISMAEL (US); YANG CHUANFANG (US),EP,2017.0,2008.0,1
DONALDSON CO INC (US),FERRER ISMAEL (US); YANG CHUANFANG (US),EP,2010.0,2008.0,1
DONALDSON CO INC (US); FERRER ISMAEL (US); YANG CHUANFANG (US),FERRER ISMAEL (US); YANG CHUANFANG (US),WIPO,2009.0,2008.0,2
DONNELLY JAMES (AU),DONNELLY JAMES (AU),WIPO,2009.0,2008.0,1
DORNIER GMBH (DE),OBKIRCHER BERNT DR (DE),EP,2004.0,2002.0,1
DORNIER LUFTFAHRT (DE),ROTH SIEGFRIED DIPL ING (DE); SCHROEDER HANS-WOLFGANG DR RER (DE); HIMMEL NORBERT DIPL ING (DE); POENITZSCH WERNER DR ING (DE); UHSE WOLFGANG DIPL ING (DE),DE,1990.0,1989.0,1
DOTY SCIENT INC (US); DOTY F DAVID (US),DOTY F DAVID (US),WIPO,2008.0,2008.0,1
"DOW CORNING (Midland, Michigan 48686-0994, US)",FEY KENNETH CHRISTOPHER (US); COMBS CHRISTOPHER SCOTT (US),EP,1995.0,1994.0,1
"DOW CORNING (Midland, Michigan 48686-0994, US)",FEY KENNETH CHRISTOPHER (US); COMBS CHRISTOPHER SCOTT (US),EP,1999.0,1994.0,1
DRONELINER LTD (GB),DEBENS MICHAEL JOHN (GB),WIPO,2024.0,2023.0,1
DSM IP ASSETS BV,LIPPMEIER JAMES CASEY; PFEIFER JOSEPH W III; JON MILTON HANSEN; KIRK E APT; WILLIAM ROBERT BARCLAY; PAUL WARREN BEHRENS; DAVID CHRISTIAN MARTIN,JP,2015.0,2014.0,1
DSM IP ASSETS BV (NL),APT KIRK (US); BORDEN JACOB (US); HANSEN JON (US); SELLERS MARTIN (US); BEHRENS PAUL WARREN (US),EP,2016.0,2014.0,1
DUKE TECH LLC (US),ACKERSON MICHAEL D (US); BYARS MICHAEL STEVEN (US); ACKERSON KYLE (US); COLEMAN JOHN (US),WIPO,2022.0,2021.0,1
DUKE TECH LLC (US),ACKERSON MICHAEL D (US); BYARS MICHAEL STEVEN (US); ACKERSON KYLE (US); COLEMAN JOHN (US),WIPO,2023.0,2023.0,1
DURANT ADAM (GB),DURANT ADAM (GB),WIPO,2023.0,2023.0,1
Deutsche Post Age,"Martin, Wegner; Ulrich, Caith; Michael, Lomeier",JP,2010.0,2007.0,1
Drager Safety Aktien Gesellschaft und Kompanie Command Gesellschaft Auf Aktien,Henning Geder; Christoph Oosterloh,JP,2023.0,2021.0,1
"EATON INTELLIGENT POWER LTD (Dublin 4, D04 Y0C2, IE)",GAIKWAD SANDIP BALASAHEB (IN); PATIL RANJIT DINKAR (IN); OLSZTYN MICHAEL (US); BAKER GRAHAM PETER (US),EP,2023.0,2023.0,1
ECLIPSE AEROSPACE INC,HAALAND PETER; HARNESS KEN,JP,2012.0,2011.0,1
ECLIPSE AEROSPACE INC,HAALAND PETER; HARNESS KEN,JP,2013.0,2013.0,1
"ECLIPSE AEROSPACE INC (Albuquerque NM 87106, US)",HAALAND PETER (US); HARNESS KEN (US),EP,2019.0,2006.0,1
ECLIPSE AVIAT CORP (US),HAALAND PETER D (US); HARNESS KEN (US),EP,2007.0,2006.0,1
ECLIPSE AVIAT CORP (US); HAALAND PETER (US); HARNESS KEN (US),HAALAND PETER (US); HARNESS KEN (US),WIPO,2006.0,2006.0,1
ECLIPSE AVIAT CORP (US); HAALAND PETER (US); HARNESS KEN (US),HAALAND PETER (US); HARNESS KEN (US),WIPO,2009.0,2006.0,1
EDENIQ INC (US),KILNER PETER H (US); GRIFFIN THOMAS P (US); COOKER BERNARD (US); WEINBERG ROGER (US),WIPO,2013.0,2013.0,1
EHRICH HORST (DE),EHRICH HORST (DE),EP,1985.0,1985.0,1
EKIP N PROIZV KOOPERATIVNAYA (RU); SAVITSKY ANATOLY IVANOVICH (RU); SCHUKIN LEV NIKOLAEVICH (RU); KARELIN VIKTOR GEORGIEVICH (RU); PUSHKIN ROSTISLAV MIKHAILOVICH (RU); MASS ALEXANDR MIKHAILOVICH (RU); SHIBANOV ANATOLY PETROVICH (RU); SCHUKIN ILYA LVOVICH (RU); KHUTSISCHVILI VLADIMIR GEORGIE (RU); FISCHENKO SERGEI VIKTOROVICH (RU); ERMISCHIN ALEXANDR VIKTOROVICH (RU); SOBKO ALEXANDR PAVLOVICH (RU),SAVITSKY ANATOLY IVANOVICH (RU); SCHUKIN LEV NIKOLAEVICH (RU); KARELIN VIKTOR GEORGIEVICH (RU); PUSHKIN ROSTISLAV MIKHAILOVICH (RU); MASS ALEXANDR MIKHAILOVICH (RU); SHIBANOV ANATOLY PETROVICH (RU); SCHUKIN ILYA LVOVICH (RU); KHUTSISCHVILI VLADIMIR GEORGIE (RU); FISCHENKO SERGEI VIKTOROVICH (RU); ERMISCHIN ALEXANDR VIKTOROVICH (RU); SOBKO ALEXANDR PAVLOVICH (RU),WIPO,1993.0,1993.0,1
ELECTRONAIR LLC (US),WALTER-ROBINSON DALE MARTIN (US),WIPO,2015.0,2015.0,1
"ELROY AIR INC (San Francisco, CA 94124, US)",WEEKES TERIK (US); BELARDO SEAN (US); COPE CLINT (US); OWEN COLIN (US); MERRILL DAVID (US),EP,2021.0,2018.0,2
"ELROY AIR INC (San Francisco, CA 94124, US)",WEEKES TERIK (US); BELARDO SEAN (US); COPE CLINT (US); OWEN COLIN (US); MERRILL DAVID (US),EP,2023.0,2018.0,1
ELROY AIR INC (US),WEEKES TERIK (US); BELARDO SEAN (US); COPE CLINT (US); OWEN COLIN (US); MERRILL DAVID (US),WIPO,2019.0,2018.0,1
EN TECHNOLOGIES INC (US); NGUYEN THIEN DUYEN THI (US); PARIMI KRISHNIAH (US),NGUYEN THIEN DUYEN THI (US); PARIMI KRISHNIAH (US),WIPO,2012.0,2011.0,1
"ENCAPSYS, LLC","Fen, Lin Shen; Robert, Stanley, Bobnock",JP,2018.0,2015.0,1
"ENCAPSYS, LLC","Fen, Lin Shen; Robert, Stanley, Bobnock",JP,2019.0,2015.0,1
"ENCAPSYS, LLC","Fen, Lin Shen; Todd, Erlin, Schwantes; Robert, Stanley, Bobnock; Yang, Nianshi",JP,2017.0,2015.0,1
"ENG PROPULSION SYSTEMS INC (New Richmond, WI 54017, US); WEINZIERL STEVEN M (New Richmond, WI 54017, US); FUCHS MICHAEL J (New Richmond, WI 54017, US)",WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),EP,2021.0,2012.0,1
"ENGELHARD MINERALS & CHEMICALS CORP., 07974 MURRAY HILL, N.J., US","PFEFFERLE, WILLIAM C., MIDDLETOWN, N.J., US",DE,1982.0,1973.0,1
ENGINEERED PROPULSION SYSTEMS INC (US); WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),EP,2014.0,2012.0,1
ENGINEERED PROPULSION SYSTEMS INC (US); WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),WIPO,2013.0,2012.0,1
ENI SPA (IT); PIRELLI & C AMBIENTE TECNOLOGI (IT); ENITECNOLOGIE SPA (IT),D ELIA LUIGI (IT); SCORLETTI PIETRO (IT); RAUSA RICCARDO (IT); RIVOLTA GUIDO (IT); DE AMICIS ALBERTO (IT); AMBROSINI TIZIANO (IT),EP,2006.0,2004.0,1
EQT CORP (US),WINGO ROBERT R (US); JORDAN WILLIAM E (US); RICE TOBY Z (US); KANTO RYAN (US),WIPO,2023.0,2022.0,1
"ESSENTRA POROUS TECH CORP (Colonial Heights, VA 23834, US)",BERGER RICHARD M (US),EP,2017.0,2000.0,1
ETHYL CORP,MALFER DENNIS J; COLUCCI WILLIAM J; FRANKLIN RANDALL M,JP,1998.0,1998.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",ARADI ALLEN A (US); ADAMS MICHAEL WAYNE (US); FACTOR STEPHEN ALAN (US),EP,2004.0,2003.0,2
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",COLUCCI WILLIAM J (US); PETTIGREW ALEXANDER F (US); CUNNINGHAM LAWRENCE J (US),EP,1997.0,1997.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",COLUCCI WILLIAM J (US); PETTIGREW ALEXANDER F (US); CUNNINGHAM LAWRENCE J (US),EP,1998.0,1997.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",COLUCCI WILLIAM J (US); PETTIGREW ALEXANDER F (US); CUNNINGHAM LAWRENCE J (US),EP,2001.0,1997.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",MALFER DENNIS J (US); FRANKLIN RANDALL M (US); COLUCCI WILLIAM L (US),EP,1998.0,1998.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",MALFER DENNIS J (US); FRANKLIN RANDALL M (US); COLUCCI WILLIAM L (US),EP,1999.0,1998.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",MALFER DENNIS J (US); FRANKLIN RANDALL M (US); COLUCCI WILLIAM L (US),EP,2004.0,1998.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",MALFER DENNIS J (US); NOBLE ANDREA T (US); COLUCCI WILLIAM J (US); SHEETS ROGER M (US),EP,2002.0,2002.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",MALFER DENNIS J (US); NOBLE ANDREA T (US); COLUCCI WILLIAM J (US); SHEETS ROGER M (US),EP,2003.0,2002.0,1
"ETHYL CORP (Richmond, Virginia 23219-4304, US)",MALFER DENNIS J (US); NOBLE ANDREA T (US); COLUCCI WILLIAM J (US); SHEETS ROGER M (US),EP,2010.0,2002.0,1
ETHYL CORPORATION,Dennis Jay Malfuar; William Jay Corsi; Randall M Franklin,JP,2000.0,1998.0,1
"EVONIK OPERATIONS GMBH (45128 Essen, DE)",HAAS THOMAS (DE); PAULMANN UWE (DE); BECK SIMON (DE),EP,2021.0,2015.0,1
EXPANDER ENERGY INC (CA),KRESNYAK STEVE (CA); MIRHADI SEYEDAMIN (CA); PAUL HENDRIK (CA),WIPO,2023.0,2023.0,1
EXPANDER ENERGY INC (CA); ATOMIC ENERGY OF CANADA LTD (CA),KRESNYAK STEVE (CA); CRAWFORD GORD (CA); SUPPIAH SELLATHURAI (CA),WIPO,2022.0,2022.0,1
EXXON RESEARCH AND ENGINEERING COMPANY,Paul Jay Barlowitz; Timothy Andrew Burkholtz; Frank Harshkowitz; Alessandro Faldi; Allen S. Ericsson,JP,2016.0,2014.0,1
EXXONMOBIL CHEM PATENTS INC (US); BROWN STEPHEN H (US); KUECHLER KEITH H (US); VERBERCKMOES AN (BE); PUTTEMANS MARC (BE); SILVERBERG STEVEN E (US); LUO SHIFANG (US); CHENG JANE C (US); JAENSCH HELGE (DE); MATHYS GEORGES M (BE),BROWN STEPHEN H (US); KUECHLER KEITH H (US); VERBERCKMOES AN (BE); PUTTEMANS MARC (BE); SILVERBERG STEVEN E (US); LUO SHIFANG (US); CHENG JANE C (US); JAENSCH HELGE (DE); MATHYS GEORGES M (BE),WIPO,2006.0,2006.0,1
"EXXONMOBIL RES & ENG CO (Annandale, NJ 08801-0900, US)",CALCAVECCHIO PETER (US); SHOUGH ANNE MARIE (US); NG MAN KIT (US); DRAKE EVELYN N (US),EP,2018.0,2016.0,1
EXXONMOBIL RES & ENG CO (US),BERLOWITZ PAUL J (US); BARCKHOLTZ TIMOTHY ANDREW (US); HERSHKOWITZ FRANK (US); FALDI ALESSANDRO (US); ERICKSON S ALLEN (US),EP,2016.0,2014.0,1
EXXONMOBIL RES & ENG CO (US),BERLOWITZ PAUL J (US); BARCKHOLTZ TIMOTHY ANDREW (US); HERSHKOWITZ FRANK H (US); FALDI ALESSANDRO (US); ERICKSON S ALLEN (US),WIPO,2014.0,2014.0,1
EXXONMOBIL RES & ENG CO (US),CALCAVECCHIO PETER (US); SHOUGH ANNE M (US); NG MAN KIT (US); DRAKE EVELYN N (US),WIPO,2016.0,2016.0,1
EXXONMOBIL TECHNOLOGY & ENGINEERING COMPANY (US),ANDERSON TIMOTHY J (US); BERKHOUS SCOTT K (US); KAR KENNETH C H (US); KUECHLER KEITH H (US); LILIK GREGORY (US),WIPO,2023.0,2023.0,1
EXXONMOBIL TECHNOLOGY & ENGINEERING COMPANY (US),ANDERSON TIMOTHY J (US); BERKHOUS SCOTT K (US); KAR KENNETH C H (US); KUECHLER KEITH H (US); LILIK GREGORY (US),WIPO,2024.0,2023.0,1
EXXONMOBIL TECHNOLOGY & ENGINEERING COMPANY (US),KADLECEK DANIEL E (US); KUECHLER KEITH H (US); WELLS PAUL P (US); LYNCH MICHAEL J (US); LILIK GREGORY (US),WIPO,2023.0,2023.0,2
EXXONMOBIL TECHNOLOGY & ENGINEERING COMPANY (US),SATTLER AARON (US); KIM HYUNG RAE (US); WALKER THEODORE W (US); DACOSTA ETHAN G (US); XU XIAOCHUN (US),WIPO,2023.0,2023.0,1
EXXONMOBIL TECHNOLOGY & ENGINEERING COMPANY (US),VINCENT MATTHEW J (US); KUECHLER KEITH H (US),WIPO,2023.0,2023.0,1
EXXONMOBIL TECHNOLOGY & ENGINEERING COMPANY (US),XU XIAOCHUN (US); DULIN ALEXANDER J (US); EVANS MADELYN M (US); BALIBAN RICHARD C (US),WIPO,2024.0,2023.0,1
EXXONMOBIL TECHNOLOGY & ENGINEERING COMPANY (US),XU XIAOCHUN (US); EVANS MADELYN M (US),WIPO,2023.0,2023.0,1
"Eclipse Aerospace, Inc.","Harland, Peter; Harness for ken",JP,2014.0,2006.0,1
Eclipse Aviation Corporation,"Harland, Peter; Harness for ken",JP,2008.0,2006.0,1
FAIRDIESEL LTD (GB); FAIRNEY WILLIAM (GB),FAIRNEY WILLIAM (GB),WIPO,2002.0,2001.0,1
FAKAS SERGII (UA); CARPENTER MICHAEL (US); PARNOWSKI ALEKSEI (UA); GRECHULHIN MYKHAILO (UA),CARPENTER MICHAEL (US); PARNOWSKI ALEKSEI (UA); GRECHULHIN MYKHAILO (UA),WIPO,2022.0,2022.0,1
FAUDI AVIAT GMBH (DE); WILDSCHÜTZ MARCUS (DE),WILDSCHÜTZ MARCUS (DE),WIPO,2016.0,2015.0,1
"FAUDI AVIATION GMBH (35260 Stadtallendorf, DE)",WILDSCHÜTZ MARCUS (DE),EP,2017.0,2015.0,1
